_id,volume,lesson,title,page,image_url,video_url,created_by,created_at,updated_at,level,theme,category,content,context,frequency,learning_level,categories,searchable_text
68a0a075c7933293a5cac88c,2,2,什麼,,https://res.cloudinary.com/dbmrnpwxd/image/upload/v1753862836/%E4%BB%80%E9%BA%BC_yujgxd.png,https://res.cloudinary.com/dbmrnpwxd/video/upload/v1757416824/%E4%BB%80%E9%BA%BC_xmnnis.mp4,admin,2025-08-16T22:54:53.809883,2025-08-16T23:39:44.767078,初級,家庭生活,其他,什麼,home_school,medium,beginner,"['其他', '', '']",什麼 綜合 beginner home_school
68a0a075c7933293a5cac88a,2,2,吃,,https://res.cloudinary.com/dbmrnpwxd/image/upload/v1753862836/%E5%90%83_bboo8y.png,https://res.cloudinary.com/dbmrnpwxd/video/upload/v1757416824/%E5%90%83_k7sbdn.mp4,admin,2025-08-16T22:54:53.809131,2025-08-16T23:39:44.643224,初級,家庭生活,日常動作,吃,home_school,high,beginner,"['日常動作', '', '']",吃 綜合 beginner home_school
68a0a075c7933293a5cac87f,2,1,辛苦,,https://res.cloudinary.com/dbmrnpwxd/image/upload/v1753862838/%E8%BE%9B%E8%8B%A6_msjd7f.png,https://res.cloudinary.com/dbmrnpwxd/video/upload/v1757416824/%E8%BE%9B%E8%8B%A6_z1ole0.mp4,admin,2025-08-16T22:54:53.804554,2025-08-16T23:39:43.932608,初級,家庭生活,其他,辛苦,home_school,medium,beginner,"['其他', '', '']",辛苦 綜合 beginner home_school
68a0a075c7933293a5cac880,2,1,努力,,https://res.cloudinary.com/dbmrnpwxd/image/upload/v1753862836/%E5%8A%AA%E5%8A%9B_hw26p0.png,https://res.cloudinary.com/dbmrnpwxd/video/upload/v1757416825/%E5%8A%AA%E5%8A%9B_ap0okt.mp4,admin,2025-08-16T22:54:53.805069,2025-08-16T23:39:43.997059,初級,家庭生活,其他,努力,home_school,medium,beginner,"['其他', '', '']",努力 綜合 beginner home_school
68a0a075c7933293a5cac87d,2,1,姊姊,,https://res.cloudinary.com/dbmrnpwxd/image/upload/v1753862839/%E5%A7%8A%E5%A7%8A_mjcxz9.png,https://res.cloudinary.com/dbmrnpwxd/video/upload/v1757416825/%E5%A7%8A%E5%A7%8A_lxusth.mp4,admin,2025-08-16T22:54:53.803113,2025-08-16T23:39:43.812113,初級,家庭生活,家庭生活,姊姊,home_school,medium,beginner,"['家庭生活', '', '']",姊姊 綜合 beginner home_school
68a0a075c7933293a5cac883,2,1,放學,,https://res.cloudinary.com/dbmrnpwxd/image/upload/v1753862840/%E6%94%BE%E5%AD%B8_y6zskx.png,https://res.cloudinary.com/dbmrnpwxd/video/upload/v1757416825/%E6%94%BE%E5%AD%B8_rylm30.mp4,admin,2025-08-16T22:54:53.806374,2025-08-16T23:39:44.182103,初級,家庭生活,其他,放學,home_school,medium,beginner,"['其他', '', '']",放學 綜合 beginner home_school
68a0a075c7933293a5cac87c,2,1,哥哥,,https://res.cloudinary.com/dbmrnpwxd/image/upload/v1753862846/%E5%93%A5%E5%93%A5_owyjka.png,https://res.cloudinary.com/dbmrnpwxd/video/upload/v1757416827/%E5%93%A5%E5%93%A5_gykt5a.mp4,admin,2025-08-16T22:54:53.802715,2025-08-16T23:39:43.756169,初級,家庭生活,家庭生活,哥哥,home_school,medium,beginner,"['家庭生活', '', '']",哥哥 綜合 beginner home_school
68a0a075c7933293a5cac87a,2,1,爸爸,,https://res.cloudinary.com/dbmrnpwxd/image/upload/v1753862842/%E7%88%B8%E7%88%B8_sgf3nh.png,https://res.cloudinary.com/dbmrnpwxd/video/upload/v1757416827/%E7%88%B8%E7%88%B8_gknlid.mp4,admin,2025-08-16T22:54:53.801961,2025-08-16T23:39:43.612236,初級,家庭生活,家庭生活,爸爸,home_school,medium,beginner,"['家庭生活', '', '']",爸爸 綜合 beginner home_school
68a0a075c7933293a5cac882,2,1,家人,,https://res.cloudinary.com/dbmrnpwxd/image/upload/v1753862847/%E5%AE%B6%E4%BA%BA_cmbwlw.png,https://res.cloudinary.com/dbmrnpwxd/video/upload/v1757416828/%E5%AE%B6%E4%BA%BA_syoipb.mp4,admin,2025-08-16T22:54:53.805832,2025-08-16T23:39:44.121291,初級,家庭生活,家庭生活,家人,home_school,medium,beginner,"['家庭生活', '', '']",家人 綜合 beginner home_school
68a0a075c7933293a5cac889,2,2,這些,,https://res.cloudinary.com/dbmrnpwxd/image/upload/v1753862851/%E9%80%99%E4%BA%9B_jutjhq.png,https://res.cloudinary.com/dbmrnpwxd/video/upload/v1757416828/%E9%80%99%E4%BA%9B_k5l19s.mp4,admin,2025-08-16T22:54:53.808764,2025-08-16T23:39:44.571775,初級,家庭生活,其他,這些,home_school,medium,beginner,"['其他', '', '']",這些 綜合 beginner home_school
